IATA_Code,Airport,City
AAA,Anaa,
AAB,Arrabury Airport,Tanbar
AAC,El Arish International Airport,Arish
AAD,Adado Airport,Adado
AAE,Les Salines Airport,El Hadjar
AAF,Apalachicola Regional,Apalachicola
AAG,Arapoti,Jaguariaiva
AAH,Aachen/Merzbruck,
AAI,Arraias,Campos Belos
AAJ,Cayana Airstrip,Kajana
AAK,Aranuka,
AAL,Aalborg Airport,Vadum
AAM,Mala Mala,
AAN,Al Ain Airport,
AAO,Anaco,Anaco
AAP,Aji Pangeran Tumenggung Pranoto International Airport,
AAQ,Anapa Airport,Anapa
AAR,Aarhus Airport,Ebeltoft
AAS,Apalapsili,
AAT,Altay Airport,Awiytan
AAU,Asau,Asau
AAV,Allah Valley,Surallah
AAW,Abbottabad,Abbottabad
AAX,Araxa Airport,Araxa
AAY,Al Ghaydah,Al Ghayzah
AAZ,Quetzaltenango,Olintepeque
ABA,Abakan Airport,Podsineye
ABB,Asaba International Airport,Asaba
ABC,Los Llanos,
ABD,Abadan Airport,Abadan
ABE,Lehigh Valley International Airport,Catasauqua
ABF,Abaiang,Buota Village
ABG,Abingdon,
ABH,Alpha,
ABI,Abilene Regional Airport,
ABJ,Felix Houphouet Boigny Airport,Abidjan
ABK,Kabri Dar,
ABL,Ambler Airport,
ABM,Northern Peninsula Airport,
ABN,Albina,
ABO,Aboisso,Aboisso
ABP,Atkamba,
ABQ,Albuquerque International Sunport,Albuquerque
ABR,Aberdeen Municipal Airport,Aberdeen
ABS,Abu Simbel,
ABT,Al-Aqiq Airport,Al Bahah
ABU,Haliwen Airport,Atambua
ABV,Nnamdi Azikiwe International Airport,Madala
ABW,Abau,
ABX,Albury Airport,East Albury
ABY,Southwest Georgia Regional Airport,
ABZ,Aberdeen International Airport,Dyce
ACA,Acapulco International Airport,10 de Abril
ACB,Antrim County,Bellaire
ACC,Kotoka International Airport,Accra
ACD,Acandi,
ACE,Lanzarote Airport,Tias
ACF,Alaer Talimu Airport,Aral
ACH,Altenrhein Airport,Rheineck
ACI,Alderney Airport,Beaumont-Hague
ACJ,Anuradhapura,Anuradhapura
ACK,Nantucket Memorial Airport,Nantucket
ACL,Aguaclara,Sabanalarga
ACM,Arica,Pebas
ACN,International,
ACO,Cobano Airport,Cobano
ACP,Sahand,Bonab
ACR,Araracuara,
ACS,Achinsk,Achinsk
ACT,Waco Municipal Airport,Gholson
ACU,Achutupo,Portobelo
ACV,Arcata-Eureka Airport,McKinleyville
ACX,Xingyi Airport,Xinzhou
ACY,Atlantic City International Airport,Pomona
ACZ,Zabol Airport,Zabol
ADA,Adana Airport,Seyhan
ADB,Izmir Adnan Menderes Airport,
ADC,Andakombe,
ADD,Addis Ababa Bole International Airport,Addis Ababa
ADE,International,Khawr Maksar
ADF,Adiyaman Airport,Adiyaman
ADG,Lenawee County,Adrian
ADH,Aldan,Aldan
ADI,Arandis,Arandis
ADJ,Marka International Airport,Amman
ADK,Adak Island Ns,
ADL,Adelaide Airport,Plympton
ADM,Ardmore Municipal Airport,Dickson
ADN,Andes,Los Andes
ADO,Andamooka,
ADP,Ampara,
ADQ,Kodiak Benny Benson State Airport,
ADR,Andrews,Andrews
ADS,Addison Airport,Haltom City
ADT,Ada Municipal,Ada
ADU,Ardabil Airport,Namin
ADV,El Daein,El Daein
ADW,Andrews AFB,Andrews AFB
ADX,Leuchars,Leuchars
ADY,Alldays,
ADZ,Gustavo Rojas Pinilla Airport,San Andres
AEA,Abemama Atoll,
AEB,Youjiang,Tianzhou
AED,Aleneva,
AEE,Adareil Airport,
AEG,Aek Godang,Padangsidempuan
AEH,Abéché,Abeche
AEI,Algeciras,Algeciras
AEK,Aseki,
AEL,Albert Lea,Albert Lea
AEM,Amgu,
AEO,Aioun El Atrouss,
AEP,Jorge Newbery Airport,Colegiales
AEQ,Ar Horqin Airport,Tianshan
AER,Sochi International Airport,Orel-Izumrud
AES,Vigra Alesund Airport,Valderoy
AET,Allakaket,
AEU,Abu Musa,
AEX,Alexandria International Airport,Alexandria
AEY,Akureyri Airport,Akureyri
AFA,San Rafael Airport,San Rafael
AFD,Port Alfred,
AFF,USAF Academy Airstrip,Cimarron Hills
AFI,Amalfi,Amalfi
AFK,Ampara Kondavattavan Tank Airport,Ampara
AFL,Alta Floresta Airport,
AFN,Municipal,Jaffrey
AFO,Municipal,Afton
AFR,Afore,
AFS,Zarafshan,Tomdibuloq
AFT,Afutara Aerodrome,
AFW,Fort Worth Alliance Airport,Haslet
AFY,Afyon,Afyonkarahisar
AFZ,Sabzevar,Sabzevar
AGA,Agadir Al Massira Airport,Inezgane
AGB,Augsburg Airport,Rehling
AGC,Allegheny County Airport,Pleasant Hills
AGD,Anggi,Warmare
AGE,Flugplatz,Wangerooge
AGF,La Garenne Airport,Le Passage
AGG,Angoram,
AGH,Angelholm Helsingborg Airport,
AGI,Wageningen,Wageningen
AGJ,Aguni,
AGK,Kagua,
AGL,Wanigela,
AGM,Tasiilaq,
AGN,Angoon,
AGO,Municipal,Magnolia
AGP,Malaga Airport,
AGQ,Agrinion,Dhokimion
AGR,Kheria,Agra
AGS,Augusta Regional Airport,
AGT,Alejo Garcia Airport,Colonia Yguazu
AGU,Aguascalients International Airport,Penuelas (El Cienegal)
AGV,Acarigua,Araure
AGW,Agnew,
AGX,Agatti Island Airport,Kavaratti
AGZ,Aggeneys,Pofadder
AHA,Naha AFB,
AHB,Abha Regional Airport,
AHC,Amedee AAF,Janesville
AHD,Downtown,Ardmore
AHE,Ahe Airport,
AHF,Municipal,Arapahoe
AHG,Agalega Island Airstrip,
AHH,Municipal,Amery
AHI,Amahai,Amahai
AHJ,Hongyuan Airport,Qiongxi
AHL,Aishalton,
AHM,Sumner Parker Field,Ashland
AHN,Athens-Ben Epps,Winterville
AHO,Alghero-Fertilia Airport,Alghero
AHS,Ahuas,Wawina
AHU,Charif Al Idrissi Airport,Imzourene
AHW,Saih Rawl,
AHY,Ambatolahy,
AHZ,Alpe D Huez,Huez
AIA,Alliance Airport,Alliance
AIC,Airok,
AID,Municipal,Anderson
AIE,Aiome,
AIF,Assis,Assis
AIG,Yalinga,
AIH,Aiambak,
AII,Alisabieh,'Ali Sabieh
AIK,Municipal,Aiken
AIL,Ailigandi,Ailigandi
AIM,Ailuk Island,
AIN,Wainwright,
AIO,Municipal,Atlantic
AIP,Ailinglapalap Island,
AIR,Aripuana,
AIS,Arorae Island,Kulia Village
AIT,Aitutaki Airport,
AIU,Atiu Island,
AIV,George Downer,Aliceville
AIW,Ai-ais,
AIY,Bader Field,
AIZ,Lee C Fine Memorial,
AJA,Ajaccio Napoleon Bonaparte Airport,Ajaccio
AJF,Jouf Airport,Sakaka
AJI,Agri Airport,Hamur
AJJ,Akjoujt,Akjoujt
AJK,Araak,Arak
AJL,Aizawl Airport,Sairang
AJN,Ouani,Ouani
AJR,Arvidsjaur Airport,Arvidsjaur
AJS,Abreojos,Bahia Asuncion
AJU,Aracaju Airport,Aracaju
AJY,Agades,Agadez
AKA,Ankang,Ankang
AKB,Atka,
AKC,Fulton International,Sawyerwood
AKD,Akola,Akola
AKE,Akieni,
AKF,Kufrah,Al Jawf
AKG,Anguganak,
AKH,Prince Sultan Air Base,Ad Dilam
AKI,Akiak,
AKJ,Asahikawa Airport,Asahikawa
AKK,Akhiok SPB,
AKL,Auckland Airport,Mangere
AKM,Zakouma,
AKN,King Salmon Airport,
AKO,Colorado Plains Regional Airport,Akron
AKP,Anaktuvuk,
AKQ,Gunung Batin,Menggala
AKR,Akure,Owena
AKS,Gwaunaru'u,
AKT,Raf Akrotiri,Kolossi
AKU,Aksu Airport,
AKV,Akulivik,
AKW,Aghajari,Omidiyeh
AKX,Aktyubinsk Airport,Aqtobe
AKY,Civil Airport,
ALA,Almaty Airport,Pervomayskiy
ALB,Albany International Airport,Colonie
ALC,Alicante-Elche Airport,
ALD,Alerta,
ALE,Alpine,Alpine
ALF,Alta Airport,Alta
ALG,Houari Boumediene Airport,Dar el Beida
ALH,Albany Airport,Albany
ALI,International,Alice
ALJ,Alexander Bay Airport,
ALK,Asela,Huruta
ALL,Albenga,Albenga
ALM,Municipal,Boles Acres
ALN,Alton,Bethalto
ALO,Waterloo Airport,Cedar Falls
ALP,Nejrab,Aleppo
ALQ,Federal,Alegrete
ALR,Alexandra,
ALS,Alamosa Municipal Airport,Alamosa
ALT,Alenquer,Alenquer
ALU,Alula,Bereeda
ALW,Walla Walla Airport,Walla Walla East
ALX,Thomas C Russell Field,Alexander City
ALY,El Nohza,
ALZ,Alitak SPB,
AMA,Rick Husband Amarillo International Airport,
AMB,Ambilobe,Ambilobe
AMC,Am Timan,Am Timan
AMD,Ahmedabad Airport,Naroda
AME,Alto Molocue,
AMF,Ama,
AMG,Amboin,
AMH,Arba Mintch Airport,Arba Minch'
AMI,Selaparang,Mataram
AMJ,Almenara,Almenara
AMK,Animas Airpark,
AML,Puerto Armuellas,Puerto Armuelles
AMM,Queen Alia International Airport,Al Jizah
AMN,Gratiot Community,Alma
AMO,Mao,Mao
AMP,Ampanihy,Ampanihy
AMQ,Pattimura Airport,Amahusu
AMR,Arno,
AMS,Amsterdam Airport Schiphol,Aalsmeer
AMT,Amata,
AMU,Amanab,
AMV,Amderma,Vorgashor
AMW,Ames,Ames
AMX,Ammaroo,
AMY,Ambatomainty,
AMZ,Ardmore,Red Hill
ANA,John Wayne International,Anaheim
ANB,Anniston Metropolitan,Oxford
ANC,Ted Stevens Anchorage International Airport,
AND,Anderson,Centerville
ANE,Angers-Marce Airport,
ANF,Cerro Moreno International Airport,Antofagasta
ANG,Brie-Champniers,Champniers
ANH,Anuha Island Resort,
ANI,Aniak Airport,
ANJ,Zanaga,
ANK,Etimesgut,Batikent
ANL,Andulo,Camacupa
ANM,Antsirabato,Antalaha
ANN,Annette Island,
ANO,Angoche,
ANP,Lee,Annapolis
ANQ,Tri-State Steuben County,Angola
ANR,Antwerp International Airport,Mortsel
ANS,Andahuaylas,San Jeronimo
ANT,St Anton,Sankt Anton am Arlberg
ANU,V.C. Bird International Airport,Parham
ANV,Anvik Airport,
ANW,Ainsworth,Ainsworth
ANX,Andenes Airport,Andenes
ANY,Anthony,Anthony
ANZ,Angus Downs,
AOA,Aroa,
AOB,Annanberg,
AOC,Altenburg Nobitz,Altenburg
AOD,Abou Deia,
AOE,Anadolu University,
AOG,Anshan Teng'ao Airport,Anshan
AOH,Allen County,Lima
AOI,Ancona Falconara Airport,Falconara Marittima
AOJ,Aomori Airport,
AOK,Karpathos Airport,Karpathos
AOL,Paso De Los Libres,Paso de los Libres
AOM,Adam Airport,
AON,Arona,
AOO,Altoona Airport,Martinsburg
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Alianza Cristiana
AOR,Sultan Abdul Halim Airport,Jitra
AOS,Amook,
AOT,Corrado Gex,Chef-Lieu
AOU,Attopeu,Attapu
APA,Centennial Airport,
APB,Apolo,Mapiri
APC,Napa County,American Canyon
APD,Arung Palakka Airport,
APE,San Juan Aposento,
APF,Naples Municipal Airport,Naples
APG,Phillips AAF,Aberdeen
APH,Camp A P Hill,Bowling Green
API,Apiay,Puerto Lopez
APJ,Ngari Burang Airport,Burang
APK,Apataki,
APL,Nampula Airport,Nampula
APN,Alpena County Regional Airport,Alpena
APO,Apartado Airport,Carepa
APP,Asapa,
APQ,Arapiraca,Arapiraca
APR,April River,
APS,Anapolis,Anapolis
APT,Marion County,Powells Crossroads
APU,Apucarana,
APV,Apple Valley,Apple Valley
APW,Faleolo Airport,Satapuala
APX,Arapongas,Apucarana
APY,Alto Parnaiba,Morros
APZ,Zapala,Zapala
AQA,Araraquara,Araraquara
AQB,Quiche Airport,Santa Cruz del Quiche
AQG,Anqing Tianzhushan Airport,Anqing
AQI,Qaisumah Airport,Al Qaysumah
AQJ,King Hussein International Airport,Aqaba
AQM,Ariquemes,Ariquemes
AQP,Rodriguez Ballon International Airport,Arequipa
AQS,Saqani,
AQY,Alyeska,
ARA,Acadiana Regional,Cade
ARB,Municipal,Ann Arbor
ARC,Arctic Village,
ARD,Alor Island Airport,Sifala
ARE,Arecibo,Bajadero
ARF,Acaricuara,
ARG,Walnut Ridge,Walnut Ridge
ARH,Talagi Airport,Arkhangel'sk
ARI,Chacalluta Airport,Arica
ARJ,Arso,Arso
ARK,Arusha Airport,Arusha
ARL,Arly,
ARM,Armidale Airport,Armidale
ARN,Stockholm Arlanda Airport,Marsta
ARO,Arboletas,Arboletes
ARP,Aragip,
ARQ,Arauquita,Arauquita
ARR,Alto Rio Senguerr,Alto Rio Senguer
ARS,Aragarcas,Aragarcas
ART,Watertown Airport,Dexter
ARU,Aracatuba Airport,Aracatuba
ARV,Noble F. Lee,Lac du Flambeau
ARW,Arad,Arad
ARX,Asbury Park,Shark River Hills
ARY,Ararat,Ararat
ARZ,N'zeto,
ASA,Assab International,
ASB,Ashgabat Airport,Ashgabat
ASC,Ascension,
ASD,Andros Town,
ASE,Aspen Airport,Aspen
ASF,Astrakhan Airport,Yaksatovo
ASG,Ashburton,Ashburton
ASH,Boire Field,Nashua
ASI,Saint Helena Airport,
ASJ,Amami Airport,
ASK,Yamoussoukro,Yamoussoukro
ASL,Harrison County,Marshall
ASM,Asmara International Airport,Asmara
ASN,Talladega,Talladega
ASO,Asosa Airport,
ASP,Alice Springs Airport,
ASQ,Austin,
ASR,Kayseri Airport,Kayseri
ASS,Arathusa Safari Lodge,
AST,Astoria,Warrenton
ASU,Silvio Pettirossi International Airport,Limpio
ASV,Amboseli,Namanga
ASW,Aswan Airport,Aswan
ASX,Ashland,Ashland
ASY,Ashley,Ashley
ASZ,Asirim,
ATA,Anta,Anta
ATB,Atbara,Atbara
ATC,Arthur's Town,
ATD,Atoifi,
ATE,Antlers,Antlers
ATF,Chachoan,San Miguel de Salcedo
ATG,Attock,Akora
ATH,Eleftherios Venizelos International Airport,Spata
ATI,Artigas,Artigas
ATJ,Antsirabe,Antsirabe
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,
ATL,Hartsfield-Jackson Atlanta International Airport,
ATM,Altamira Airport,Altamira
ATN,Namatanai,
ATO,Ohio University,Athens
ATP,Airstrip,
ATQ,Sri Guru Ram Dass Jee International Airport,Raja Sansi
ATR,Mouakchott,Atar
ATS,Artesia,Artesia
ATT,Atmautluak Airport,
ATU,Casco Cove,
ATV,Ati,Ati
ATW,Outagamie County Regional Airport,Menasha
ATX,Atbasar,Atbasar
ATY,Watertown Airport,Watertown
ATZ,Assiut Airport,Asyut
AUA,Reina Beatrix International Airport,Oranjestad
AUB,Itauba Airport,Itauba
AUC,Arauca Airport,Arauca
AUD,Augustus Downs,
AUE,Abu Rudeis,
AUF,Auxerre Branches,Appoigny
AUG,Augusta Airport,Augusta
AUH,Abu Dhabi International Airport,
AUI,Aua Island,
AUJ,Ambunti,
AUK,Alakanuk Airport,
AUL,Aur Island,Aur
AUM,Austin,Austin
AUN,Auburn,Auburn
AUO,Auburn-Opelika,Auburn
AUP,Agaun,
AUQ,Hiva Oa Airport,
AUR,Aurillac Airport,Aurillac
AUS,Austin-Bergstrom International Airport,Hornsby Bend
AUT,Atauro,
AUU,Aurukun Mission,
AUV,Aumo,
AUW,Municipal,Schofield
AUX,Araguaina Airport,Araguaina
AUY,Aneityum,
AUZ,Municipal Airport,Aurora
AVA,An Shun/Huang Guo Shu Airport,Anshun
AVB,Aviano,Roveredo in Piano
AVG,Auvergne,
AVI,Maximo Gomez,Ciro Redondo
AVK,Arvaikheer,Arvayheer
AVL,Asheville Regional Airport,Fletcher
AVN,Avignon-Caumont Airport,Noves
AVO,Municipal,Avon Park
AVP,Wilkes-Barre/Scranton International Airport,Avoca
AVR,Alverca,Sobralinho
AVU,Avu Avu,
AVV,Avalon Airport,Little River
AVW,Avra Valley,Marana
AVX,Avalon Bay,
AWA,Awassa,Hawassa
AWB,Awaba Airport,Awaba
AWD,Aniwa,
AWE,Alowe,
AWK,Wake Island,
AWM,Municipal,West Memphis
AWN,Alton Downs,
AWP,Austral Downs Airport,
AWR,Awar,
AWZ,Ahwaz Airport,Ahvaz
AXA,Clayton J. Lloyd International Airport,The Valley
AXB,Alexandria Bay,Alexandria Bay
AXC,Aramac,
AXD,Demokritos Airport,Alexandroupoli
AXE,Xanxere,Xanxere
AXF,Alxa Left Banner,Bayan Hot
AXG,Algona,Algona
AXJ,Amakusa,Hondo
AXK,Ataq,
AXL,Alexandria,
AXM,El Eden Airport,La Tebaida
AXN,Alexandria,Alexandria
AXO,Bandar Udara Pantar,Pantar
AXP,Springpoint Airport,Masons Bay
AXR,Arutua Airport,Arutua
AXS,Altus/Quartz Mountain Regional Airport,
AXT,Akita Airport,Akita
AXU,Axum Airport,Aksum
AXV,Neil Armstrong,Wapakoneta
AXX,Angel Fire,Angel Fire
AYA,Ayapel,Ayapel
AYC,Ayacucho,Pelaya
AYD,Alroy Downs,
AYE,AAF Heliport,Ayer
AYG,Yaguara,
AYI,Yari,
AYJ,Maharishi Valmiki International Airport,Faizabad
AYK,Arkalyk,Arkalyk
AYL,Anthony Lagoon,
AYM,Yas Island SPB,
AYN,Anyang Airport,Anyang
AYO,Ayolas,Ayolas
AYP,Yanamilla Airport,Carmen Alto
AYQ,Connellan Airport,
AYR,Ayr,Ayr
AYS,Ware County,Deenwood
AYT,Antalya Airport,Aksu
AYU,Aiyura,
AYW,Ayawasi,Aifat
AYX,Gerardo Pérez Pinedo,Puerto Ocopa
AYY,Arugam Bay SPB,
AYZ,Zahns,Amityville
AZA,Phoenix-Mesa Gateway Airport,Queen Creek
AZB,Amazon Bay,
AZD,Yazd Airport,Yazd
AZG,Apatzingan,Apatzingan
AZH,Azamgarh Airport,Manduri
AZI,Bateen,
AZJ,Zhenjiang Dalu,Changzhou
AZL,Fazenda Tucunare Airport,
AZN,Andizhan Airport,Andijon
AZO,Kalamazoo Battle Creek International Airport,Portage
AZP,Atizapan,Iztacalco
AZR,Adrar Airport,Adrar
AZS,Samaná El Catey International,Sanchez
AZT,Zapatoca,Betulia
AZZ,Ambriz,Nzeto
BAA,Bialla,
BAB,Beale AFB,Marysville
BAC,Barranca De Upia,Barranca de Upia
BAD,Barksdale AFB,Bossier City
BAE,Barcelonnette,Barcelonnette
BAF,Barnes,Westfield
BAG,Loakan,Tuding
BAH,Bahrain International Airport,Al Muharraq
BAI,Buenos Aires,Buenos Aires
BAJ,Bali,
BAL,Batman Airport,Yenikoy
BAM,Lander County,Battle Mountain
BAN,Basongo,
BAO,Udorn,
BAP,Baibara,
BAQ,E Cortissoz Airport,Malambo
BAR,Baker AAF,
BAS,Balalae,
BAT,Airport Chafei Amsei,Barretos
BAU,Bauru Airport,Bauru
BAV,Baotou Airport,Shulinzhao
BAW,Biawonque,
BAX,Barnaul Gherman Titov International Airport,Gon'ba
BAY,Baia Mare,Tautii Magherus
BAZ,Barbelos,Barcelos
BBA,Teniente Vidal Airport,
BBB,Benson Municipal Airport,Benson
BBC,Bay City,Bay City
BBD,Curtis Field,Brady
BBF,Burlington,Burlington
BBG,Butaritari,
BBH,Barth,
BBI,Biju Patnaik International Airport,Bhubaneshwar
BBJ,Bitburg Air Base,Bitburg
BBK,Kasane Airport,Kasane
BBL,Ballera Airport,
BBM,Battambang,Battambang
BBN,Bario Airport,
BBO,Berbera,Berbera
BBP,Bembridge,
BBQ,Barbuda,Codrington
BBR,Baillif,Baillif
BBS,Blackbushe,Yateley
BBT,Berberati,Berberati
BBU,Baneasa,
BBV,Hkg,
BBW,Broken Bow,Broken Bow
BBX,Wings Field,Blue Bell
BBY,Bambari,Bambari
BBZ,Zambezi,
BCA,Baracoa,Baracoa
BCB,Virginia Tech,Blacksburg
BCC,Bear Creek,Red Lodge
BCD,Bacolod-Silay International Airport,Bacolod City
BCE,Bryce,
BCF,Bouca,Bouca
BCG,Bemichi,
BCH,Cakung International,Baucau
BCI,Barcaldine Airport,
BCJ,Baca Grande,Buena Vista
BCK,Bolwarra,Atherton
BCL,Barra Colorado,Matina
BCM,Bacau Airport,Margineni-Munteni
BCN,Barcelona-El Prat Airport,El Prat de Llobregat
BCO,Jinka,
BCP,Bambu,
BCQ,Brack,Brak
BCR,Boca Do Acre,Boca do Acre
BCS,Southern Seaplane,
BCT,Boca Raton Airport,Boca Raton
BCU,Bauchi,Bauchi
BCV,Belmopan,
BCW,Benguera Island,
BCX,Beloreck,Lomovka
BCY,Bulchi,Felege Neway
BCZ,Bickerton Island,
BDA,L.F. Wade International Airport,
BDB,Bundaberg Airport,Thabeban
BDC,Barra Do Corda,Barra do Corda
BDD,Badu Island,
BDE,Baudette,
BDF,Rinkenberger,Wyoming
BDG,Blanding,Blanding
BDH,Bandar Lengeh,Bandar-e Lengeh
BDI,Bird Island,Bel Ombre
BDJ,Syamsudin Noor International Airport,Banjarbaru
BDK,Bondoukou,Bondoukou
BDL,Bradley International Airport,Windsor Locks
BDM,Bandirma,Bandirma
BDN,Talhar,Badin
BDO,Husein Sastranegara Airport,Bandung
BDP,Bhadrapur Airport,Bhadrapur
BDQ,Vadodara Airport,Vadodara
BDR,Igor I. Sikorsky Memorial,
BDS,Brindisi - Salento Airport,Materdomini
BDT,Gbadolite,Ouango
BDU,Bardufoss Airport,Moen
BDV,Moba,Karema
BDW,Bedford Downs,
BDX,Broadus,Broadus
BDY,State,Bandon
BDZ,Baindoung,
BEA,Bereina,
BEB,Benbecula Airport,Benbecula
BEC,Beech,
BED,Hanscom Field,Bedford
BEE,Beagle Bay,
BEF,Bluefields,Bluefields
BEG,Belgrad Nikola Tesla Airport,Surcin
BEH,Ross Field,Benton Heights
BEI,Beica,Asosa
BEJ,Kalimarau Airport,
BEK,Bareli,Rae Bareli
BEL,Val De Cans International Airport,Belem
BEM,Beni Mellal Airport,Beni Mellal
BEN,Benina International,Benghazi
BEO,Belmont,Belmont
BEP,Bellary,Bellary
BEQ,Honington,Thetford
BER,Berlin Brandenburg Airport,
BES,Brest Bretagne Airport,Guipavas
BET,Bethel Airport,
BEU,Bedourie,
BEV,Beer Sheba,Beersheba
BEW,Beira Airport,
BEX,Benson RAF Station,Benson
BEY,Beirut-Rafic Hariri International Airport,Baabda
BEZ,Beru,
BFA,Bahia Negra,
BFB,Blue Fox Bay,
BFC,Bloomfield,
BFD,Bradford Airport,Bradford
BFE,Bielefeld,Bielefeld
BFF,Western Nebraska Regional Airport,Terrytown
BFG,Bullfrog Basin,
BFH,Bacacheri,Curitiba
BFI,Boeing Field International Airport,Boulevard Park
BFJ,Bijie Airport,Bijie
BFK,Buffalo Municipal Airport,Aurora
BFL,Meadows Field Airport,Oildale
BFM,Mobile Downtown Airport,
BFN,Bram Fischer International Airport,Bloemfontein
BFO,Buffalo Range,
BFP,Beaver Falls,West Mayfield
BFQ,Bahia Pinas,
BFR,Virgil I Grissom Municipalcipal,Bedford
BFS,Belfast International Airport,Antrim
BFT,County,Beaufort
BFU,Bengbu,Bengbu
BFV,Buri Ram Airport,Satuek
BFW,Sidi Belabbes,Sidi Bel Abbes
BFX,Bafoussam,Bafoussam
BFY,Bengbu Tenghu Airport,
BGA,Palonegro International Airport,Lebrija
BGB,Booue,
BGC,Braganca Airport,Braganca
BGD,Borger,Borger
BGE,Decatur County,Bainbridge
BGF,Bangui Airport,Bangui
BGG,Bingol Airport,
BGH,Abbaye,Golere
BGI,Grantley Adams International Airport,
BGJ,Borgarfjordur Eystri,
BGK,Big Creek,
BGL,Baglung,Baglung
BGM,Greater Binghamton Airport,Johnson City
BGN,Belaya Gora Airport,Belaya Gora
BGO,Bergen Airport,Ytrebygda
BGP,Bongo,
BGQ,Big Lake,
BGR,Bangor International Airport,Bangor
BGS,Webb AFB,
BGT,Bagdad,Bagdad
BGU,Bangassou,
BGV,Bento Goncalves,Bento Goncalves
BGW,Baghdad International Airport,Abu Ghurayb
BGX,Airport Cmdt. Gustavo Kraemer,Bage
BGY,Orio al Serio International Airport,Orio al Serio
BGZ,Braga,Braga
BHA,Bahia De Caraquez,Bahia de Caraquez
BHB,Bar Harbor Airport,Trenton
BHC,Bhurban Heliport,Murree
BHD,George Best Belfast City Airport,Castlereagh
BHE,Woodbourne Airport,Blenheim
BHF,Bahia Cupica,
BHG,Brus Laguna,Brus Laguna
BHH,Bisha Airport,Qal`at Bishah
BHI,Comandante Airport,Bahia Blanca
BHJ,Rudra Mata Airport,Bhuj
BHK,Bukhara Airport,Bukhara
BHL,Bahia Angeles,
BHM,Birmingham-Shuttlesworth International Airport,Tarrant
BHN,Beihan,Bayhan
BHO,Raja Bhoj Airport,Bhopal
BHP,Bhojpur,
BHQ,Broken Hill Airport,
BHR,Bharatpur Airport,
BHS,Raglan Airport,Kelso
BHT,Brighton Downs,
BHU,Bhavnagar Airport,Bhavnagar
BHV,Bahawalpur Airport,Bahawalpur
BHW,Bhagatanwala Airport,
BHX,Birmingham International Airport,Bickenhill
BHY,Beihai Fucheng Airport,Beihai
BIA,Bastia Poretta Airport,Borgo
BIB,Baidoa,Baidoa
BIC,Aérodrome de Belle Île,Bangor
BID,Block Island,Charlestown
BIE,Beatrice,Beatrice
BIF,Biggs AAF,El Paso
BIG,Intermediate Field,
BIH,Bishop,Bishop
BII,Enyu Airfield,
BIJ,Biliau,
BIK,Mokmer Airport,Biak
BIL,Billings Logan International Airport,Billings
BIM,Bimini International Airport,
BIN,Bamiyan,Bamyan
BIO,Bilbao Airport,Sondika
BIP,Bulimba,
BIQ,Biarritz - Anglet - Bayonne Airport,Anglet
BIR,Biratnagar Airport,Jogbani
BIS,Bismarck Airport,Bismarck
BIT,Baitadi,Mahendranagar
BIU,Bildudalur,
BIV,Bria,Bria
BIW,Billiluna,
BIX,Keesler AFB,Biloxi
BIY,Bisho,Port Alfred
BIZ,Bimin,
BJA,Bejaia Airport,Bejaia
BJB,Bojnord,Bojnurd
BJC,Jeffco,Broomfield
BJD,Bakkafjordur,
BJE,Baleela,Al Fulah
BJF,Batsfjord Airport,Batsfjord
BJG,Bolaang,
BJH,Bajhang,
BJI,Bemidji Airport,Bemidji
BJJ,Wayne County,Wooster
BJK,Benjina,
BJL,Yundum International Airport,Abuko
BJM,Bujumbura Melchior Ndadaye International Airport,Bujumbura
BJN,Bajone,
BJO,Bermejo,San Ramon de la Nueva Oran
BJP,Braganca Paulista,Braganca Paulista
BJQ,Bahja Airport,
BJR,Bahar Dar Airport,Bahir Dar
BJT,Bentota River,Beruwala
BJU,Bajura Airport,
BJV,Milas-Bodrum Airport,Kiulukioi
BJW,Bajawa Soa Airport,Naru
BJX,Guanajuato International Airport,Colonia Nuevo Mexico
BJY,Batajnica,Novi Banovci
BJZ,Badajoz Airport,Talavera La Real
BKA,Bykovo,
BKB,Bikaner,Bikaner
BKC,Buckland Airport,
BKD,Stephens County,Breckenridge
BKE,Baker,Baker City
BKF,Lake Brooks SPB,
BKG,Branson,Hollister
BKH,Barking Sands PMRF,
BKI,Kota Kinabalu International Airport,Putatan
BKJ,Boke,Boke
BKK,Suvarnabhumi Airport,Lat Krabang
BKL,Burke Lakefront Airport,Cleveland
BKM,Bakalalan,
BKN,Balkanabat Airport,Balkanabat
BKO,Bamako-Senou International Airport,Bamako
BKP,Barkly Downs,
BKQ,Blackall Airport,
BKR,Bokoro,Bokoro
BKS,Fatmawati Soekarno Airport,Bengkulu
BKT,Blackstone AAF,Blackstone
BKU,Betioky,Betioky
BKV,Bailing Airport,Bailingmiao
BKW,Beckley Airport,Daniels
BKX,Brookings,Brookings
BKY,Kavumu,Bukavu
BKZ,Bukoba Airport,Bukoba
BLA,General Jose Antonio Anzoategui International Airport,Barcelona
BLB,Panama Pacifico Airport,Ancon
BLC,Bamenda,
BLD,Boulder City,Boulder City
BLE,Dala Airport,Ornas
BLF,Princeton,Bluefield
BLG,Belaga,Data Kakus
BLH,Blythe,Mesa Verde
